Year,Report ID,Country,License,Commodity Type Overview,Commodity_type,Title / Project type,Project Name / concession layer,Project_ID,Project_Uri,Company_Name,Company_ID,Company share of project,IsOperator,Production Year,Production_volume,Production_unit,Price from EITI Report,Unit,Payment received by government (US$),Payment by company (US$),Company,Currency,Data,Company,Value
#year,#eitiSrouce,#country,#license,#project+commodityType,#project+commodityDetails,,#project,#project+identifier,#project+url,#project+company,#project+company+identifier,#project+company+share,#project+company+isOperator,#project+production+year,#project+production+volume,#project+production+unit,#project+production+price,#project+production+priceUnit,#governmentReceipt,#companyPayment,#companyPayment+country,#companyPayment+currency,#companyPayment+date,#companyPayment+company,#companyPayment+value
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,East Kalimantan,,,Chevron Indonesia Company,,,,2010,"8,435,754",barrels,Not given,,"545,349,000","545,349,000",Indonesia,USD,2010,Chevron Indonesia Company,"545,349,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Gas,,East Kalimantan,,,Inpex Offshore North Mahakam Ltd,,,,2010,"31,986,233",MSCF,Not given,,"10,391,000","10,391,000",Indonesia,USD,2010,Inpex Offshore North Mahakam Ltd,"10,391,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,Makassar Strait,,,Chevron Makassar Ltd.,,,,2010,"1,698,543",barrels,Not given,,"128,022,000","128,022,000",Indonesia,USD,2010,Chevron Makassar Ltd.,"128,022,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Gas,,Makassar Strait,,,PT PHE Makassar Strait,,,,2010,"8,501,184",MSCF,Not given,,"12,367,000","12,367,000",Indonesia,USD,2010,PT PHE Makassar Strait,"12,367,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,Siak,,,Chevron Siak Inc.,,,,2010,"749,000",barrels,Not given,,"46,967,000","46,967,000",Indonesia,USD,2010,Chevron Siak Inc.,"46,967,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,MFK,,,Chevron Mountain Front Kuantan Inc.,,,,2010,"47,948",barrels,Not given,,"3,211,000","3,211,000",Indonesia,USD,2010,Chevron Mountain Front Kuantan Inc.,"3,211,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,MFK,,,PT PHE MFK,,,,2010,,,,,"240,000","240,000",Indonesia,USD,2010,PT PHE MFK,"240,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,Mahakam,,,Total E&P Indonesie,,,,2010,"34,104,006",barrels,Not given,,"4,540,376,000","4,540,376,000",Indonesia,USD,2010,Total E&P Indonesie,"4,540,376,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Gas,,Mahakam,,,Inpex Corporation,,,,2010,"807,568,771",MSCF,Not given,,"1,873,828,000","1,873,750,000",Indonesia,USD,2010,Inpex Corporation,"1,873,750,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Mahakam,,,Indonesia Petroleum Ltd,,,,2010,,,,,,,Indonesia,USD,2010,Indonesia Petroleum Ltd,0
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,South Natuna Sea B,,,ConocoPhillips Indonesia Inc. Ltd.,,,,2010,"21,555,884",barrels,Not given,,"1,487,339,000","1,468,298,000",Indonesia,USD,2010,ConocoPhillips Indonesia Inc. Ltd.,"1,468,298,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Gas,,South Natuna Sea B,,,Chevron South Natuna B Inc,,,,2010,"166,688,250",MSCF,Not given,,"108,150,000","108,150,000",Indonesia,USD,2010,Chevron South Natuna B Inc,"108,150,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,South Natuna Sea B,,,Inpex Natuna Ltd,,,,2010,,,,,"177,139,000","177,139,000",Indonesia,USD,2010,Inpex Natuna Ltd,"177,139,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,Corridor,,,ConocoPhillips (Grissik) Ltd.,,,,2010,"3,964,416",barrels,Not given,,"1,409,579,000","1,406,750,000",Indonesia,USD,2010,ConocoPhillips (Grissik) Ltd.,"1,406,750,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Gas,,Corridor,,,Talisman Energi,,,,2010,"349,021,784",MSCF,Not given,,"221,486,000","221,486,000",Indonesia,USD,2010,Talisman Energi,"221,486,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Corridor,,,Pertamina EP,,,,2010,,,,,"71,318,000","71,318,000",Indonesia,USD,2010,Pertamina EP,"71,318,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,South Jambi B,,,ConocoPhillips (South Jambi) Ltd.,,,,2010,"23,085",barrels,Not given,,"1,425,000","1,723,000",Indonesia,USD,2010,ConocoPhillips (South Jambi) Ltd.,"1,723,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Gas,,South Jambi B,,,PT PHE South Jambi,,,,2010,"1,093,203",MSCF,Not given,,"293,000","293,000",Indonesia,USD,2010,PT PHE South Jambi,"293,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,South Jambi B,,,Petrochina,,,,2010,,,,,"500,000",,Indonesia,USD,2010,Petrochina,0
2010,Indonesia2010,Indonesia,,Oil & Gas,,,South Jambi B,,,Pertamina,,,,2010,,,,,,,Indonesia,USD,2010,Pertamina,0
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,Indonesia (Nation-wide),,,PT Pertamina EP,,,,2010,"46,758,400",barrels,Not given,,"1,635,485,000","1,637,507,000",Indonesia,USD,2010,PT Pertamina EP,"1,637,507,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Gas,,Indonesia (Nation-wide),,,Koperasi Energi Indonesia,,,,2010,"299,389,811",MSCF,Not given,,,,Indonesia,USD,2010,Koperasi Energi Indonesia,0
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,Sanga-Sanga,,,Virginia Indonesia Co.,,,,2010,"6,484,541",barrels,Not given,,"675,289,000","675,289,000",Indonesia,USD,2010,Virginia Indonesia Co.,"675,289,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Gas,,Sanga-Sanga,,,BP East Kalimantan,,,,2010,"104,958,149",MSCF,Not given,,"49,876,000","49,877,000",Indonesia,USD,2010,BP East Kalimantan,"49,877,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Sanga-Sanga,,,Lasmo Sanga-sanga Ltd,,,,2010,,,,,"47,982,000","47,981,000",Indonesia,USD,2010,Lasmo Sanga-sanga Ltd,"47,981,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Sanga-Sanga,,,Opicoil Houston Inc,,,,2010,,,,,"43,568,000","43,568,000",Indonesia,USD,2010,Opicoil Houston Inc,"43,568,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Sanga-Sanga,,,Virginia International Company,,,,2010,,,,,"33,686,000","33,686,000",Indonesia,USD,2010,Virginia International Company,"33,686,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,,,Sanga-Sanga,,,Universe Gas&Oil Company,,,,2010,,,,,"9,381,000","9,381,000",Indonesia,USD,2010,Universe Gas&Oil Company,"9,381,000"
