Country,ConcessionName,ConcessionContractor,ConcessionDescription,ConcessionSource,ConcessionSourceDate,Retrieved at
#country,#license,#license+participant+company,#license+description,#source,#sourceDate,#retrievedAt
Indonesia,Mahato,Texcal Mahato E&P LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Baturaja,PT Anugerah Mutiara Sentosa,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Tuban,JOB Pertamina-Petrochina East Java,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Cendrawasih,Black Gold Cendrawasih LLC,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P2 Anggana Block,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Alas Jati Block,PT Insani Bina Perkasa,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Uiung Kulon,M3nergy Gamma SDN BHD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bawean,Camar Resources Canada INC,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P15 Klamono,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Coastal Plains and Pekanbaru,PT Pertamina Hulu Nergie Rokan CPP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Cendrawasih Bay IV,Niko Resources Cendrawasih Bay IV LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Jambi Block B,ConocoPhillips South Jambi LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P28 Rampa,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South CPP,Ranhill Pamai Taluk Energy PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Ketapang Block,PC Ketapang II LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bulungan,ENI Bulungan B.V,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
