Source,Source Date,True At,Country,Project Name / concession layer,Project_ID,Commodity Type Overview,Commodity_type,Date of participation data,Company_Name,Company_ID,Share,Is Operator,License_name,License_ID,Government,Organisation_Identifier,Production_volume,Production_unit,Price from EITI Report,Unit,Payment_type,Currency,Payment received by government (US$),Payment by company (US$)
#source,#sourceDate,#trueAt,#country,#project,#project+identifier,#commodity,#commodity+code,#participant+trueAt,#participant+company,#participant+company+identifier,#participant+share,#participant+isOperator,#license,#license+identifier,,,,,,,,,,
,,,Indonesia,Sanga-Sanga,,Oil & Gas,Gas,,BP East Kalimantan,,,,,,,,"104,958,149",MSCF,Not given,,,,"49,876,000","49,877,000"
,,,Indonesia,Sanga-Sanga,,Oil & Gas,,,Lasmo Sanga-sanga Ltd,,,,,,,,,,,,,,"47,982,000","47,981,000"
,,,Indonesia,Sanga-Sanga,,Oil & Gas,,,Opicoil Houston Inc,,,,,,,,,,,,,,"43,568,000","43,568,000"
,,,Indonesia,Sanga-Sanga,,Oil & Gas,,,Virginia International Company,,,,,,,,,,,,,,"33,686,000","33,686,000"
,,,Indonesia,Sanga-Sanga,,Oil & Gas,,,Universe Gas&Oil Company,,,,,,,,,,,,,,"9,381,000","9,381,000"
,,,Indonesia,North Sumatra Offshore,,Oil & Gas,Oil,,Mobil Expl. Indo (NSO) Inc.,,,,,,,,"389,370",barrels,Not given,,,,"561,627,000","561,627,000"
,,,Indonesia,North Sumatra Offshore,,Oil & Gas,Gas,,,,,,,,,,"70,461,263",MSCF,Not given,,,,,
,,,Indonesia,B Block,,Oil & Gas,Oil,,ExxonMobil Oil Indonesia Inc.,,,,,,,,"1,334,436",barrels,Not given,,,,"403,217,000","403,141,000"
,,,Indonesia,B Block,,Oil & Gas,Gas,,,,,,,,,,"39,664,433",MSCF,Not given,,,,,
,,,Indonesia,Cepu,,Oil & Gas,Oil,,Mobil Cepu Ltd.,,,,,,,,"6,772,071",barrels,Not given,,,,"72,533,000","72,533,000"
,,,Indonesia,Cepu,,Oil & Gas,,,Ampolex (Cepu) PTE. Ltd,,,,,,,,,,,,,,"199,000","199,000"
,,,Indonesia,Cepu,,Oil & Gas,,,PT Pertamina EP Cepu,,,,,,,,,,,,,,,
,,,Indonesia,Cepu,,Oil & Gas,,,PT Sarana Patra Hulu Cepu,,,,,,,,,,,,,,,
,,,Indonesia,Cepu,,Oil & Gas,,,PT Blora Patragas Hulu,,,,,,,,,,,,,,,
,,,Indonesia,Cepu,,Oil & Gas,,,PT Asri Dharma Sejahtera,,,,,,,,,,,,,,,
,,,Indonesia,Cepu,,Oil & Gas,,,PT Petrogas Jatim Utama Cendana,,,,,,,,,,,,,,,
